Name,Age,Position,MarketValue,Fee,Fee_Cleaned
Michael Obafemi,25,Centre-Forward,CF,loan transfer,0
Luca Koleosho,21,Right Winger,RW,loan transfer,0
Oluwaseun Adewumi,20,Attacking Midfield,AM,loan transfer,0
Shurandy Sambo,23,Right-Back,RB,loan transfer,0
Luca Koleosho,20,Right Winger,RW,loan transfer,0
Nathan Redmond,31,Right Winger,RW,-,-
Manuel Benson,28,Right Winger,RW,loan transfer,0
Bashir Humphreys,22,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Jaidon Anthony,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Zian Flemming,26,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Marcus Edwards,26,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
João Pedro,23,Centre-Forward,CF,€63.70m,63.7
Jamie Gittens,20,Left Winger,LW,€56.00m,56
Alejandro Garnacho,21,Left Winger,LW,€46.20m,46.2
Estêvão,18,Right Winger,RW,€45.00m,45
Jorrel Hato,19,Left-Back,LB,€44.18m,44.18
Liam Delap,22,Centre-Forward,CF,€35.50m,35.5
Dário Essugo,20,Defensive Midfield,DM,€22.27m,22.27
Mamadou Sarr,19,Centre-Back,CB,€14.00m,14
Kendry Páez,18,Attacking Midfield,AM,€10.00m,10
Facundo Buonanotte,20,Attacking Midfield,AM,Loan fee:€2.30m,Loan fee:2.30
João Félix,25,Second Striker,SS,End of loan30/06/2025,End of loan30/06/2025
Mamadou Sarr,20,Centre-Back,CB,End of loan02/02/2026,End of loan02/02/2026
Marc Guiu,19,Centre-Forward,CF,End of loan01/09/2025,End of loan01/09/2025
Aarón Anselmino,20,Centre-Back,CB,End of loan26/01/2026,End of loan26/01/2026
David Datro Fofana,23,Centre-Forward,CF,End of loan21/01/2026,End of loan21/01/2026
Alfie Gilchrist,21,Right-Back,RB,End of loan30/06/2025,End of loan30/06/2025
Lesley Ugochukwu,21,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Bashir Humphreys,22,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Armando Broja,23,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Kendry Páez,18,Attacking Midfield,AM,End of loan29/01/2026,End of loan29/01/2026
Mike Penders,19,Goalkeeper,GK,End of loan01/06/2025,End of loan01/06/2025
Kepa Arrizabalaga,30,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Djordje Petrovic,25,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Renato Veiga,21,Centre-Back,CB,End of loan10/06/2025,End of loan10/06/2025
Raheem Sterling,30,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
Axel Disasi,27,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Ben Chilwell,28,Left-Back,LB,End of loan30/06/2025,End of loan30/06/2025
Carney Chukwuemeka,21,Central Midfield,CM,End of loan06/07/2025,End of loan06/07/2025
Caleb Wiley,21,Left-Back,LB,End of loan09/01/2026,End of loan09/01/2026
Noni Madueke,23,Right Winger,RW,€56.00m,56
Christopher Nkunku,27,Centre-Forward,CF,€37.00m,37
João Félix,25,Second Striker,SS,€30.00m,30
Djordje Petrovic,25,Goalkeeper,GK,€28.90m,28.9
Lesley Ugochukwu,21,Defensive Midfield,DM,€28.70m,28.7
Kiernan Dewsbury-Hall,26,Central Midfield,CM,€28.65m,28.65
Renato Veiga,22,Centre-Back,CB,€24.50m,24.5
Armando Broja,23,Centre-Forward,CF,€23.00m,23
Carney Chukwuemeka,21,Central Midfield,CM,€20.00m,20
Nicolas Jackson,24,Centre-Forward,CF,Loan fee:€16.50m,Loan fee:16.50
Mathis Amougou,19,Central Midfield,CM,€14.50m,14.5
Bashir Humphreys,22,Centre-Back,CB,€14.00m,14
Kepa Arrizabalaga,30,Goalkeeper,GK,€5.80m,5.8
Marcus Bettinelli,33,Goalkeeper,GK,€2.40m,2.4
Alfie Gilchrist,21,Right-Back,RB,€2.30m,2.3
Axel Disasi,27,Centre-Back,CB,Loan fee:€2.00m,Loan fee:2.00
Ben Chilwell,28,Left-Back,LB,free transfer,0
Lucas Bergström,22,Goalkeeper,GK,free transfer,0
Mamadou Sarr,19,Centre-Back,CB,loan transfer,0
Tyrique George,19,Left Winger,LW,loan transfer,0
David Datro Fofana,23,Centre-Forward,CF,loan transfer,0
Aarón Anselmino,20,Centre-Back,CB,loan transfer,0
Marc Guiu,19,Centre-Forward,CF,loan transfer,0
Kendry Páez,18,Attacking Midfield,AM,loan transfer,0
David Datro Fofana,22,Centre-Forward,CF,loan transfer,0
Aarón Anselmino,20,Centre-Back,CB,loan transfer,0
Kendry Páez,18,Attacking Midfield,AM,loan transfer,0
Mike Penders,19,Goalkeeper,GK,loan transfer,0
Raheem Sterling,31,Right Winger,RW,-,-
Facundo Buonanotte,21,Attacking Midfield,AM,End of loan14/01/2026,End of loan14/01/2026
Jadon Sancho,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Jørgen Strand Larsen,25,Centre-Forward,CF,€49.70m,49.7
Brennan Johnson,24,Right Winger,RW,€40.00m,40
Yéremy Pino,22,Right Winger,RW,€30.00m,30
Jaydee Canvot,19,Centre-Back,CB,€23.00m,23
Borna Sosa,27,Left-Back,LB,€2.30m,2.3
Walter Benítez,32,Goalkeeper,GK,free transfer,0
Evann Guessand,24,Right Winger,RW,loan transfer,0
Christantus Uche,22,Centre-Forward,CF,loan transfer,0
Odsonne Édouard,27,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Jesurun Rak-Sakyi,23,Right Winger,RW,End of loan31/05/2026,End of loan31/05/2026
Romain Esse,21,Right Winger,RW,End of loan31/05/2026,End of loan31/05/2026
Naouirou Ahamada,23,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Jesurun Rak-Sakyi,23,Right Winger,RW,End of loan10/01/2026,End of loan10/01/2026
Luke Plange,22,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Rob Holding,29,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Jeffrey Schlupp,32,Left Midfield,LM,End of loan30/06/2025,End of loan30/06/2025
Jesurun Rak-Sakyi,22,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
David Ozoh,21,Defensive Midfield,DM,End of loan31/05/2026,End of loan31/05/2026
Owen Goodman,22,Goalkeeper,GK,End of loan08/01/2026,End of loan08/01/2026
Eberechi Eze,27,Attacking Midfield,AM,€69.30m,69.3
Marc Guéhi,25,Centre-Back,CB,€23.00m,23
Odsonne Édouard,27,Centre-Forward,CF,€3.70m,3.7
Malcolm Ebiowei,21,Right Winger,RW,€1.15m,1.15
Naouirou Ahamada,23,Central Midfield,CM,free transfer,0
Luke Plange,22,Centre-Forward,CF,free transfer,0
Jeffrey Schlupp,32,Left Midfield,LM,free transfer,0
Rob Holding,29,Centre-Back,CB,free transfer,0
Owen Goodman,21,Goalkeeper,GK,loan transfer,0
Romain Esse,20,Right Winger,RW,loan transfer,0
Jesurun Rak-Sakyi,22,Right Winger,RW,loan transfer,0
Owen Goodman,22,Goalkeeper,GK,loan transfer,0
Matheus França,21,Attacking Midfield,AM,loan transfer,0
David Ozoh,20,Defensive Midfield,DM,loan transfer,0
Joel Ward,35,Right-Back,RB,-,-
Jesurun Rak-Sakyi,23,Right Winger,RW,loan transfer,0
Matt Turner,31,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Ben Chilwell,28,Left-Back,LB,End of loan30/06/2025,End of loan30/06/2025
Tyler Dibling,19,Right Winger,RW,€40.50m,40.5
Thierno Barry,22,Centre-Forward,CF,€30.00m,30
Kiernan Dewsbury-Hall,26,Central Midfield,CM,€28.65m,28.65
Carlos Alcaraz,22,Central Midfield,CM,€15.00m,15
Adam Aznou,19,Left-Back,LB,€9.00m,9
Mark Travers,26,Goalkeeper,GK,€4.60m,4.6
Merlin Röhl,23,Attacking Midfield,AM,Loan fee:€2.00m,Loan fee:2.00
Tom King,30,Goalkeeper,GK,?,?
Jack Grealish,29,Left Winger,LW,loan transfer,0
Tyrique George,19,Left Winger,LW,loan transfer,0
Harrison Armstrong,18,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Mason Holgate,28,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Tyler Onyango,23,Central Midfield,CM,End of loan31/05/2026,End of loan31/05/2026
Billy Crellin,25,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Neal Maupay,28,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Harrison Armstrong,18,Central Midfield,CM,End of loan01/01/2026,End of loan01/01/2026
Harry Tyrer,23,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Youssef Chermiti,21,Centre-Forward,CF,€8.60m,8.6
Neal Maupay,28,Centre-Forward,CF,€4.00m,4
Asmir Begovic,38,Goalkeeper,GK,free transfer,0
João Virgínia,25,Goalkeeper,GK,free transfer,0
Mason Holgate,28,Centre-Back,CB,free transfer,0
Abdoulaye Doucouré,32,Attacking Midfield,AM,free transfer,0
Ashley Young,40,Right-Back,RB,free transfer,0
Dominic Calvert-Lewin,28,Centre-Forward,CF,free transfer,0
Harry Tyrer,24,Goalkeeper,GK,?,?
Tyler Onyango,22,Central Midfield,CM,loan transfer,0
Harrison Armstrong,18,Central Midfield,CM,loan transfer,0
Billy Crellin,25,Goalkeeper,GK,-,-
Carlos Alcaraz,22,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Jack Grealish,30,Left Winger,LW,End of loan30/06/2026,End of loan30/06/2026
Armando Broja,23,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Orel Mangala,27,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Jesper Lindstrøm,25,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
Jack Harrison,28,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Kevin,22,Left Winger,LW,€40.00m,40
Oscar Bobb,22,Right Winger,RW,€31.20m,31.2
Jonah Kusi-Asare,18,Centre-Forward,CF,Loan fee:€4.00m,Loan fee:4.00
Benjamin Lecomte,34,Goalkeeper,GK,€500k,500
Samuel Chukwueze,26,Right Winger,RW,loan transfer,0
Luke Harris,20,Attacking Midfield,AM,End of loan07/01/2026,End of loan07/01/2026
Steven Benda,27,Goalkeeper,GK,End of loan12/01/2026,End of loan12/01/2026
Luke Harris,21,Attacking Midfield,AM,End of loan31/05/2026,End of loan31/05/2026
Luke Harris,20,Attacking Midfield,AM,End of loan30/06/2025,End of loan30/06/2025
Andreas Pereira,29,Central Midfield,CM,€10.00m,10
Martial Godo,22,Left Winger,LW,€7.00m,7
Adama Traoré,30,Right Winger,RW,€2.30m,2.3
Carlos Vinícius,30,Centre-Forward,CF,free transfer,0
Steven Benda,27,Goalkeeper,GK,loan transfer,0
Luke Harris,20,Attacking Midfield,AM,loan transfer,0
Steven Benda,26,Goalkeeper,GK,loan transfer,0
Willian,36,Left Winger,LW,-,-
Luke Harris,20,Attacking Midfield,AM,loan transfer,0
Reiss Nelson,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Anton Stach,26,Defensive Midfield,DM,€20.00m,20
Noah Okafor,25,Left Winger,LW,€19.00m,19
Jaka Bijol,26,Centre-Back,CB,€18.00m,18
Lucas Perri,27,Goalkeeper,GK,€16.00m,16
Sean Longstaff,27,Central Midfield,CM,€13.80m,13.8
Gabriel Gudmundsson,26,Left-Back,LB,€11.60m,11.6
James Justin,27,Right-Back,RB,€9.30m,9.3
Sebastiaan Bornauw,26,Centre-Back,CB,€6.00m,6
Lukas Nmecha,26,Centre-Forward,CF,free transfer,0
Dominic Calvert-Lewin,28,Centre-Forward,CF,free transfer,0
Facundo Buonanotte,21,Attacking Midfield,AM,loan transfer,0
Rasmus Kristensen,27,Right-Back,RB,End of loan30/06/2025,End of loan30/06/2025
Charlie Crew,19,Defensive Midfield,DM,End of loan01/01/2026,End of loan01/01/2026
Sam Greenwood,23,Attacking Midfield,AM,End of loan30/06/2025,End of loan30/06/2025
Joe Gelhardt,23,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Jack Harrison,28,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Rasmus Kristensen,27,Right-Back,RB,€6.00m,6
Jack Harrison,29,Left Winger,LW,Loan fee:€1.00m,Loan fee:1.00
Junior Firpo,28,Left-Back,LB,free transfer,0
Darko Gyabi,21,Central Midfield,CM,free transfer,0
Sam Greenwood,23,Attacking Midfield,AM,free transfer,0
Joe Gelhardt,23,Centre-Forward,CF,loan transfer,0
Maximilian Wöber,27,Centre-Back,CB,loan transfer,0
Largie Ramazani,24,Left Winger,LW,loan transfer,0
Isaac Schmidt,25,Left-Back,LB,loan transfer,0
Mateo Joseph,21,Centre-Forward,CF,loan transfer,0
Patrick Bamford,31,Centre-Forward,CF,-,-
Josuha Guilavogui,34,Defensive Midfield,DM,-,-
Charlie Crew,19,Defensive Midfield,DM,loan transfer,0
Joe Rothwell,30,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Manor Solomon,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Alexander Isak,25,Centre-Forward,CF,€145.00m,145
Florian Wirtz,22,Attacking Midfield,AM,€125.00m,125
Hugo Ekitiké,23,Centre-Forward,CF,€95.00m,95
Milos Kerkez,21,Left-Back,LB,€46.90m,46.9
Jeremie Frimpong,24,Right-Back,RB,€40.00m,40
Giovanni Leoni,18,Centre-Back,CB,€31.00m,31
Freddie Woodman,28,Goalkeeper,GK,free transfer,0
Harvey Davies,22,Goalkeeper,GK,End of loan02/02/2026,End of loan02/02/2026
Rhys Williams,24,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Stefan Bajcetic,20,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Ben Gannon-Doak,19,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
Nat Phillips,28,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Giorgi Mamardashvili,24,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Luis Díaz,28,Left Winger,LW,€70.00m,70
Darwin Núñez,26,Centre-Forward,CF,€53.00m,53
Jarell Quansah,22,Centre-Back,CB,€35.00m,35
Ben Gannon-Doak,19,Right Winger,RW,€23.20m,23.2
Caoimhín Kelleher,26,Goalkeeper,GK,€14.80m,14.8
Trent Alexander-Arnold,26,Right-Back,RB,€10.00m,10
Tyler Morton,22,Defensive Midfield,DM,€10.00m,10
Nat Phillips,28,Centre-Back,CB,€3.50m,3.5
Harvey Davies,21,Goalkeeper,GK,loan transfer,0
Konstantinos Tsimikas,29,Left-Back,LB,loan transfer,0
Harvey Elliott,22,Attacking Midfield,AM,loan transfer,0
Vitezslav Jaros,23,Goalkeeper,GK,loan transfer,0
Antoine Semenyo,26,Right Winger,RW,€72.00m,72
Tijjani Reijnders,26,Central Midfield,CM,€54.90m,54.9
Rayan Aït-Nouri,24,Left-Back,LB,€36.80m,36.8
Rayan Cherki,21,Attacking Midfield,AM,€36.50m,36.5
James Trafford,22,Goalkeeper,GK,€31.20m,31.2
Gianluigi Donnarumma,26,Goalkeeper,GK,€30.00m,30
Marc Guéhi,25,Centre-Back,CB,€23.00m,23
Sverre Nypan,18,Central Midfield,CM,€15.00m,15
Marcus Bettinelli,33,Goalkeeper,GK,€2.40m,2.4
Sverre Nypan,19,Central Midfield,CM,End of loan02/02/2026,End of loan02/02/2026
Yan Couto,23,Right Midfield,RM,End of loan30/06/2025,End of loan30/06/2025
Kalvin Phillips,30,Defensive Midfield,DM,End of loan31/05/2026,End of loan31/05/2026
Claudio Echeverri,19,Attacking Midfield,AM,End of loan31/12/2025,End of loan31/12/2025
Jack Grealish,30,Left Winger,LW,End of loan30/06/2026,End of loan30/06/2026
Juma Bah,19,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Kyle Walker,35,Right-Back,RB,End of loan30/06/2025,End of loan30/06/2025
Josh Wilson-Esbrand,22,Left-Back,LB,End of loan30/06/2025,End of loan30/06/2025
Issa Kaboré,24,Right-Back,RB,End of loan30/06/2025,End of loan30/06/2025
Máximo Perrone,22,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Kalvin Phillips,29,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Oscar Bobb,22,Right Winger,RW,€31.20m,31.2
James McAtee,22,Attacking Midfield,AM,€25.50m,25.5
Yan Couto,23,Right Midfield,RM,€20.00m,20
Máximo Perrone,22,Defensive Midfield,DM,€13.00m,13
Ederson,32,Goalkeeper,GK,€11.00m,11
Manuel Akanji,30,Centre-Back,CB,Loan fee:€1.00m,Loan fee:1.00
Stefan Ortega,33,Goalkeeper,GK,€580k,580
Kevin De Bruyne,34,Attacking Midfield,AM,free transfer,0
İlkay Gündoğan,34,Central Midfield,CM,free transfer,0
Claudio Echeverri,20,Attacking Midfield,AM,loan transfer,0
Kyle Walker,35,Right-Back,RB,?,?
Issa Kaboré,24,Right-Back,RB,loan transfer,0
Claudio Echeverri,19,Attacking Midfield,AM,loan transfer,0
Josh Wilson-Esbrand,22,Left-Back,LB,loan transfer,0
Sverre Nypan,18,Central Midfield,CM,loan transfer,0
Jack Grealish,29,Left Winger,LW,loan transfer,0
Vitor Reis,19,Centre-Back,CB,loan transfer,0
Juma Bah,19,Centre-Back,CB,loan transfer,0
Kalvin Phillips,30,Defensive Midfield,DM,loan transfer,0
Scott Carson,39,Goalkeeper,GK,-,-
Benjamin Sesko,22,Centre-Forward,CF,€76.50m,76.5
Bryan Mbeumo,25,Right Winger,RW,€75.00m,75
Matheus Cunha,26,Centre-Forward,CF,€74.20m,74.2
Senne Lammens,23,Goalkeeper,GK,€21.00m,21
Diego León,18,Left-Back,LB,€4.00m,4
Ethan Wheatley,20,Centre-Forward,CF,End of loan31/05/2026,End of loan31/05/2026
Harry Amass,18,Left-Back,LB,End of loan23/01/2026,End of loan23/01/2026
Jadon Sancho,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
